total_sales,flower_lbs,mean_price,median_price,Period
"33,817,309.23","3,851.05",259.14,293.63,Monthly_Report_-_April_2020.pdf
"49,624,197.95","5,823.52",270.58,292.46,Monthly_Report_-_August_2020.pdf
"24,900,419.73","2,734.02",267.30,312.54,Monthly_Report_-_December_2019.pdf
"25,726,150.99","2,374.01",285.50,316.21,Monthly_Report_-_February_2020.pdf
"25,241,895.13","2,397.84",276.37,311.96,Monthly_Report_-_January_2019_681263_7.pdf
"52,131,537.02","6,409.37",267.41,288.15,Monthly_Report_-_July_2020.pdf
"45,662,180.76","5,660.41",262.60,281.11,Monthly_Report_-_June_2020.pdf
"30,372,396.21","2,972.29",281.42,317.96,Monthly_Report_-_March_2020.pdf
"45,153,117.50","5,711.91",251.46,283.50,Monthly_Report_-_May_2020.pdf
"26,628,235.46","2,916.16",266.31,298.91,Monthly_Report_-_November_2019.pdf
"28,594,401.95","2,974.00",259.51,293.99,Monthly_Report_-_October_2019.pdf
"46,123,826.90","5,349.93",263.89,295.03,Monthly_Report_-_September_2020.pdf
