,WAR_rapm
201145,-0.34861081730705745
203500,1.7868980466776871
1627832,1.5128494478869425
1628415,-1.409373399615401
1628988,0.24119303624345897
1629098,-0.015628065047758318
1629111,-0.4174948508142544
1630224,-0.7139981696035582
1630256,0.08522097160305174
1630578,3.226974556541979
1631095,-0.19357090739563818
1631106,-2.5220183623684425
1631223,-0.02509510410853188
1631466,-0.20158982052064756
1641708,1.7669003862096764
1641715,-0.6145961744966089
1642263,-1.094967297662702
1642368,-0.056979875734129055
